% WordBreakProperty-10.0.0.txt
% Date: 2017-03-10, 02:00:42 GMT
% © 2017 Unicode®, Inc.
% Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
% For terms of use, see http://www.unicode.org/terms_of_use.html
%
% Unicode Character Database
%   For documentation, see http://www.unicode.org/reports/tr44/

% ================================================

% Property:	Word_Break

%  All code points not explicitly listed for Word_Break
%  have the value Other (XX).

% @missing: 16#0000..16#10FFFF; Other

% ================================================

16#0A01..16#0A02    ; Extend % Mn   [2] GURMUKHI SIGN ADAK BINDI..16#GURMUKHI SIGN BINDI
16#0A03          ; Extend % Mc       GURMUKHI SIGN VISARGA
16#0A3C          ; Extend % Mn       GURMUKHI SIGN NUKTA
16#0A3E..16#0A40    ; Extend % Mc   [3] GURMUKHI VOWEL SIGN AA..16#GURMUKHI VOWEL SIGN II
16#0A41..16#0A42    ; Extend % Mn   [2] GURMUKHI VOWEL SIGN U..16#GURMUKHI VOWEL SIGN UU
16#0A47..16#0A48    ; Extend % Mn   [2] GURMUKHI VOWEL SIGN EE..16#GURMUKHI VOWEL SIGN AI
16#0A4B..16#0A4D    ; Extend % Mn   [3] GURMUKHI VOWEL SIGN OO..16#GURMUKHI SIGN VIRAMA
16#0A51          ; Extend % Mn       GURMUKHI SIGN UDAAT
16#0A70..16#0A71    ; Extend % Mn   [2] GURMUKHI TIPPI..16#GURMUKHI ADDAK
16#0A75          ; Extend % Mn       GURMUKHI SIGN YAKASH
16#0A81..16#0A82    ; Extend % Mn   [2] GUJARATI SIGN CANDRABINDU..16#GUJARATI SIGN ANUSVARA
16#0A83          ; Extend % Mc       GUJARATI SIGN VISARGA
16#0ABC          ; Extend % Mn       GUJARATI SIGN NUKTA
16#0ABE..16#0AC0    ; Extend % Mc   [3] GUJARATI VOWEL SIGN AA..16#GUJARATI VOWEL SIGN II
16#0AC1..16#0AC5    ; Extend % Mn   [5] GUJARATI VOWEL SIGN U..16#GUJARATI VOWEL SIGN CANDRA E
16#0AC7..16#0AC8    ; Extend % Mn   [2] GUJARATI VOWEL SIGN E..16#GUJARATI VOWEL SIGN AI
16#0AC9          ; Extend % Mc       GUJARATI VOWEL SIGN CANDRA O
16#0ACB..16#0ACC    ; Extend % Mc   [2] GUJARATI VOWEL SIGN O..16#GUJARATI VOWEL SIGN AU
16#0ACD          ; Extend % Mn       GUJARATI SIGN VIRAMA
16#0AE2..16#0AE3    ; Extend % Mn   [2] GUJARATI VOWEL SIGN VOCALIC L..16#GUJARATI VOWEL SIGN VOCALIC LL
16#0AFA..16#0AFF    ; Extend % Mn   [6] GUJARATI SIGN SUKUN..16#GUJARATI SIGN TWO-CIRCLE NUKTA ABOVE
16#0B01          ; Extend % Mn       ORIYA SIGN CANDRABINDU
16#0B02..16#0B03    ; Extend % Mc   [2] ORIYA SIGN ANUSVARA..16#ORIYA SIGN VISARGA
16#0B3C          ; Extend % Mn       ORIYA SIGN NUKTA
16#0B3E          ; Extend % Mc       ORIYA VOWEL SIGN AA
16#0B3F          ; Extend % Mn       ORIYA VOWEL SIGN I
16#0B40          ; Extend % Mc       ORIYA VOWEL SIGN II
16#0B41..16#0B44    ; Extend % Mn   [4] ORIYA VOWEL SIGN U..16#ORIYA VOWEL SIGN VOCALIC RR
16#0B47..16#0B48    ; Extend % Mc   [2] ORIYA VOWEL SIGN E..16#ORIYA VOWEL SIGN AI
16#0B4B..16#0B4C    ; Extend % Mc   [2] ORIYA VOWEL SIGN O..16#ORIYA VOWEL SIGN AU
16#0B4D          ; Extend % Mn       ORIYA SIGN VIRAMA
16#0B56          ; Extend % Mn       ORIYA AI LENGTH MARK
16#0B57          ; Extend % Mc       ORIYA AU LENGTH MARK
16#0B62..16#0B63    ; Extend % Mn   [2] ORIYA VOWEL SIGN VOCALIC L..16#ORIYA VOWEL SIGN VOCALIC LL
16#0B82          ; Extend % Mn       TAMIL SIGN ANUSVARA
16#0BBE..16#0BBF    ; Extend % Mc   [2] TAMIL VOWEL SIGN AA..16#TAMIL VOWEL SIGN I
16#0BC0          ; Extend % Mn       TAMIL VOWEL SIGN II
16#0BC1..16#0BC2    ; Extend % Mc   [2] TAMIL VOWEL SIGN U..16#TAMIL VOWEL SIGN UU
16#0BC6..16#0BC8    ; Extend % Mc   [3] TAMIL VOWEL SIGN E..16#TAMIL VOWEL SIGN AI
16#0BCA..16#0BCC    ; Extend % Mc   [3] TAMIL VOWEL SIGN O..16#TAMIL VOWEL SIGN AU
16#0BCD          ; Extend % Mn       TAMIL SIGN VIRAMA
16#0BD7          ; Extend % Mc       TAMIL AU LENGTH MARK
16#0C00          ; Extend % Mn       TELUGU SIGN COMBINING CANDRABINDU ABOVE
16#0C01..16#0C03    ; Extend % Mc   [3] TELUGU SIGN CANDRABINDU..16#TELUGU SIGN VISARGA
16#0C3E..16#0C40    ; Extend % Mn   [3] TELUGU VOWEL SIGN AA..16#TELUGU VOWEL SIGN II
16#0C41..16#0C44    ; Extend % Mc   [4] TELUGU VOWEL SIGN U..16#TELUGU VOWEL SIGN VOCALIC RR
16#0C46..16#0C48    ; Extend % Mn   [3] TELUGU VOWEL SIGN E..16#TELUGU VOWEL SIGN AI
16#0C4A..16#0C4D    ; Extend % Mn   [4] TELUGU VOWEL SIGN O..16#TELUGU SIGN VIRAMA
16#0C55..16#0C56    ; Extend % Mn   [2] TELUGU LENGTH MARK..16#TELUGU AI LENGTH MARK
16#0C62..16#0C63    ; Extend % Mn   [2] TELUGU VOWEL SIGN VOCALIC L..16#TELUGU VOWEL SIGN VOCALIC LL
16#0C81          ; Extend % Mn       KANNADA SIGN CANDRABINDU
16#0C82..16#0C83    ; Extend % Mc   [2] KANNADA SIGN ANUSVARA..16#KANNADA SIGN VISARGA
16#0CBC          ; Extend % Mn       KANNADA SIGN NUKTA
16#0CBE          ; Extend % Mc       KANNADA VOWEL SIGN AA
16#0CBF          ; Extend % Mn       KANNADA VOWEL SIGN I
16#0CC0..16#0CC4    ; Extend % Mc   [5] KANNADA VOWEL SIGN II..16#KANNADA VOWEL SIGN VOCALIC RR
16#0CC6          ; Extend % Mn       KANNADA VOWEL SIGN E
16#0CC7..16#0CC8    ; Extend % Mc   [2] KANNADA VOWEL SIGN EE..16#KANNADA VOWEL SIGN AI
16#0CCA..16#0CCB    ; Extend % Mc   [2] KANNADA VOWEL SIGN O..16#KANNADA VOWEL SIGN OO
16#0CCC..16#0CCD    ; Extend % Mn   [2] KANNADA VOWEL SIGN AU..16#KANNADA SIGN VIRAMA
16#0CD5..16#0CD6    ; Extend % Mc   [2] KANNADA LENGTH MARK..16#KANNADA AI LENGTH MARK
16#0CE2..16#0CE3    ; Extend % Mn   [2] KANNADA VOWEL SIGN VOCALIC L..16#KANNADA VOWEL SIGN VOCALIC LL
16#0D00..16#0D01    ; Extend % Mn   [2] MALAYALAM SIGN COMBINING ANUSVARA ABOVE..16#MALAYALAM SIGN CANDRABINDU
16#0D02..16#0D03    ; Extend % Mc   [2] MALAYALAM SIGN ANUSVARA..16#MALAYALAM SIGN VISARGA
16#0D3B..16#0D3C    ; Extend % Mn   [2] MALAYALAM SIGN VERTICAL BAR VIRAMA..16#MALAYALAM SIGN CIRCULAR VIRAMA
16#0D3E..16#0D40    ; Extend % Mc   [3] MALAYALAM VOWEL SIGN AA..16#MALAYALAM VOWEL SIGN II
16#0D41..16#0D44    ; Extend % Mn   [4] MALAYALAM VOWEL SIGN U..16#MALAYALAM VOWEL SIGN VOCALIC RR
16#0D46..16#0D48    ; Extend % Mc   [3] MALAYALAM VOWEL SIGN E..16#MALAYALAM VOWEL SIGN AI
16#0D4A..16#0D4C    ; Extend % Mc   [3] MALAYALAM VOWEL SIGN O..16#MALAYALAM VOWEL SIGN AU
16#0D4D          ; Extend % Mn       MALAYALAM SIGN VIRAMA
16#0D57          ; Extend % Mc       MALAYALAM AU LENGTH MARK
16#0D62..16#0D63    ; Extend % Mn   [2] MALAYALAM VOWEL SIGN VOCALIC L..16#MALAYALAM VOWEL SIGN VOCALIC LL
16#0D82..16#0D83    ; Extend % Mc   [2] SINHALA SIGN ANUSVARAYA..16#SINHALA SIGN VISARGAYA
16#0DCA          ; Extend % Mn       SINHALA SIGN AL-LAKUNA
16#0DCF..16#0DD1    ; Extend % Mc   [3] SINHALA VOWEL SIGN AELA-PILLA..16#SINHALA VOWEL SIGN DIGA AEDA-PILLA
16#0DD2..16#0DD4    ; Extend % Mn   [3] SINHALA VOWEL SIGN KETTI IS-PILLA..16#SINHALA VOWEL SIGN KETTI PAA-PILLA
16#0DD6          ; Extend % Mn       SINHALA VOWEL SIGN DIGA PAA-PILLA
16#0DD8..16#0DDF    ; Extend % Mc   [8] SINHALA VOWEL SIGN GAETTA-PILLA..16#SINHALA VOWEL SIGN GAYANUKITTA
16#0DF2..16#0DF3    ; Extend % Mc   [2] SINHALA VOWEL SIGN DIGA GAETTA-PILLA..16#SINHALA VOWEL SIGN DIGA GAYANUKITTA
16#0E31          ; Extend % Mn       THAI CHARACTER MAI HAN-AKAT
16#0E34..16#0E3A    ; Extend % Mn   [7] THAI CHARACTER SARA I..16#THAI CHARACTER PHINTHU
16#0E47..16#0E4E    ; Extend % Mn   [8] THAI CHARACTER MAITAIKHU..16#THAI CHARACTER YAMAKKAN
16#0EB1          ; Extend % Mn       LAO VOWEL SIGN MAI KAN
16#0EB4..16#0EB9    ; Extend % Mn   [6] LAO VOWEL SIGN I..16#LAO VOWEL SIGN UU
16#0EBB..16#0EBC    ; Extend % Mn   [2] LAO VOWEL SIGN MAI KON..16#LAO SEMIVOWEL SIGN LO
16#0EC8..16#0ECD    ; Extend % Mn   [6] LAO TONE MAI EK..16#LAO NIGGAHITA
16#0F18..16#0F19    ; Extend % Mn   [2] TIBETAN ASTROLOGICAL SIGN -KHYUD PA..16#TIBETAN ASTROLOGICAL SIGN SDONG TSHUGS
16#0F35          ; Extend % Mn       TIBETAN MARK NGAS BZUNG NYI ZLA
16#0F37          ; Extend % Mn       TIBETAN MARK NGAS BZUNG SGOR RTAGS
16#0F39          ; Extend % Mn       TIBETAN MARK TSA -PHRU
16#0F3E..16#0F3F    ; Extend % Mc   [2] TIBETAN SIGN YAR TSHES..16#TIBETAN SIGN MAR TSHES
16#0F71..16#0F7E    ; Extend % Mn  [14] TIBETAN VOWEL SIGN AA..16#TIBETAN SIGN RJES SU NGA RO
16#0F7F          ; Extend % Mc       TIBETAN SIGN RNAM BCAD
16#0F80..16#0F84    ; Extend % Mn   [5] TIBETAN VOWEL SIGN REVERSED I..16#TIBETAN MARK HALANTA
16#0F86..16#0F87    ; Extend % Mn   [2] TIBETAN SIGN LCI RTAGS..16#TIBETAN SIGN YANG RTAGS
16#0F8D..16#0F97    ; Extend % Mn  [11] TIBETAN SUBJOINED SIGN LCE TSA CAN..16#TIBETAN SUBJOINED LETTER JA
16#0F99..16#0FBC    ; Extend % Mn  [36] TIBETAN SUBJOINED LETTER NYA..16#TIBETAN SUBJOINED LETTER FIXED-FORM RA
16#0FC6          ; Extend % Mn       TIBETAN SYMBOL PADMA GDAN
16#102B..16#102C    ; Extend % Mc   [2] MYANMAR VOWEL SIGN TALL AA..16#MYANMAR VOWEL SIGN AA
16#102D..16#1030    ; Extend % Mn   [4] MYANMAR VOWEL SIGN I..16#MYANMAR VOWEL SIGN UU
16#1031          ; Extend % Mc       MYANMAR VOWEL SIGN E
16#1032..16#1037    ; Extend % Mn   [6] MYANMAR VOWEL SIGN AI..16#MYANMAR SIGN DOT BELOW
16#1038          ; Extend % Mc       MYANMAR SIGN VISARGA
16#1039..16#103A    ; Extend % Mn   [2] MYANMAR SIGN VIRAMA..16#MYANMAR SIGN ASAT
16#103B..16#103C    ; Extend % Mc   [2] MYANMAR CONSONANT SIGN MEDIAL YA..16#MYANMAR CONSONANT SIGN MEDIAL RA
16#103D..16#103E    ; Extend % Mn   [2] MYANMAR CONSONANT SIGN MEDIAL WA..16#MYANMAR CONSONANT SIGN MEDIAL HA
16#1056..16#1057    ; Extend % Mc   [2] MYANMAR VOWEL SIGN VOCALIC R..16#MYANMAR VOWEL SIGN VOCALIC RR
16#1058..16#1059    ; Extend % Mn   [2] MYANMAR VOWEL SIGN VOCALIC L..16#MYANMAR VOWEL SIGN VOCALIC LL
16#105E..16#1060    ; Extend % Mn   [3] MYANMAR CONSONANT SIGN MON MEDIAL NA..16#MYANMAR CONSONANT SIGN MON MEDIAL LA
16#1062..16#1064    ; Extend % Mc   [3] MYANMAR VOWEL SIGN SGAW KAREN EU..16#MYANMAR TONE MARK SGAW KAREN KE PHO
16#1067..16#106D    ; Extend % Mc   [7] MYANMAR VOWEL SIGN WESTERN PWO KAREN EU..16#MYANMAR SIGN WESTERN PWO KAREN TONE-5
16#1071..16#1074    ; Extend % Mn   [4] MYANMAR VOWEL SIGN GEBA KAREN I..16#MYANMAR VOWEL SIGN KAYAH EE
16#1082          ; Extend % Mn       MYANMAR CONSONANT SIGN SHAN MEDIAL WA
16#1083..16#1084    ; Extend % Mc   [2] MYANMAR VOWEL SIGN SHAN AA..16#MYANMAR VOWEL SIGN SHAN E
16#1085..16#1086    ; Extend % Mn   [2] MYANMAR VOWEL SIGN SHAN E ABOVE..16#MYANMAR VOWEL SIGN SHAN FINAL Y
16#1087..16#108C    ; Extend % Mc   [6] MYANMAR SIGN SHAN TONE-2..16#MYANMAR SIGN SHAN COUNCIL TONE-3
16#108D          ; Extend % Mn       MYANMAR SIGN SHAN COUNCIL EMPHATIC TONE
16#108F          ; Extend % Mc       MYANMAR SIGN RUMAI PALAUNG TONE-5
16#109A..16#109C    ; Extend % Mc   [3] MYANMAR SIGN KHAMTI TONE-1..16#MYANMAR VOWEL SIGN AITON A
16#109D          ; Extend % Mn       MYANMAR VOWEL SIGN AITON AI
16#135D..16#135F    ; Extend % Mn   [3] ETHIOPIC COMBINING GEMINATION AND VOWEL LENGTH MARK..16#ETHIOPIC COMBINING GEMINATION MARK
16#1712..16#1714    ; Extend % Mn   [3] TAGALOG VOWEL SIGN I..16#TAGALOG SIGN VIRAMA
16#1732..16#1734    ; Extend % Mn   [3] HANUNOO VOWEL SIGN I..16#HANUNOO SIGN PAMUDPOD
16#1752..16#1753    ; Extend % Mn   [2] BUHID VOWEL SIGN I..16#BUHID VOWEL SIGN U
16#1772..16#1773    ; Extend % Mn   [2] TAGBANWA VOWEL SIGN I..16#TAGBANWA VOWEL SIGN U
16#17B4..16#17B5    ; Extend % Mn   [2] KHMER VOWEL INHERENT AQ..16#KHMER VOWEL INHERENT AA
16#17B6          ; Extend % Mc       KHMER VOWEL SIGN AA
16#17B7..16#17BD    ; Extend % Mn   [7] KHMER VOWEL SIGN I..16#KHMER VOWEL SIGN UA
16#17BE..16#17C5    ; Extend % Mc   [8] KHMER VOWEL SIGN OE..16#KHMER VOWEL SIGN AU
16#17C6          ; Extend % Mn       KHMER SIGN NIKAHIT
16#17C7..16#17C8    ; Extend % Mc   [2] KHMER SIGN REAHMUK..16#KHMER SIGN YUUKALEAPINTU
16#17C9..16#17D3    ; Extend % Mn  [11] KHMER SIGN MUUSIKATOAN..16#KHMER SIGN BATHAMASAT
16#17DD          ; Extend % Mn       KHMER SIGN ATTHACAN
16#180B..16#180D    ; Extend % Mn   [3] MONGOLIAN FREE VARIATION SELECTOR ONE..16#MONGOLIAN FREE VARIATION SELECTOR THREE
16#1885..16#1886    ; Extend % Mn   [2] MONGOLIAN LETTER ALI GALI BALUDA..16#MONGOLIAN LETTER ALI GALI THREE BALUDA
16#18A9          ; Extend % Mn       MONGOLIAN LETTER ALI GALI DAGALGA
16#1920..16#1922    ; Extend % Mn   [3] LIMBU VOWEL SIGN A..16#LIMBU VOWEL SIGN U
16#1923..16#1926    ; Extend % Mc   [4] LIMBU VOWEL SIGN EE..16#LIMBU VOWEL SIGN AU
16#1927..16#1928    ; Extend % Mn   [2] LIMBU VOWEL SIGN E..16#LIMBU VOWEL SIGN O
16#1929..16#192B    ; Extend % Mc   [3] LIMBU SUBJOINED LETTER YA..16#LIMBU SUBJOINED LETTER WA
16#1930..16#1931    ; Extend % Mc   [2] LIMBU SMALL LETTER KA..16#LIMBU SMALL LETTER NGA
16#1932          ; Extend % Mn       LIMBU SMALL LETTER ANUSVARA
16#1933..16#1938    ; Extend % Mc   [6] LIMBU SMALL LETTER TA..16#LIMBU SMALL LETTER LA
16#1939..16#193B    ; Extend % Mn   [3] LIMBU SIGN MUKPHRENG..16#LIMBU SIGN SA-I
16#1A17..16#1A18    ; Extend % Mn   [2] BUGINESE VOWEL SIGN I..16#BUGINESE VOWEL SIGN U
16#1A19..16#1A1A    ; Extend % Mc   [2] BUGINESE VOWEL SIGN E..16#BUGINESE VOWEL SIGN O
16#1A1B          ; Extend % Mn       BUGINESE VOWEL SIGN AE
16#1A55          ; Extend % Mc       TAI THAM CONSONANT SIGN MEDIAL RA
16#1A56          ; Extend % Mn       TAI THAM CONSONANT SIGN MEDIAL LA
16#1A57          ; Extend % Mc       TAI THAM CONSONANT SIGN LA TANG LAI
16#1A58..16#1A5E    ; Extend % Mn   [7] TAI THAM SIGN MAI KANG LAI..16#TAI THAM CONSONANT SIGN SA
16#1A60          ; Extend % Mn       TAI THAM SIGN SAKOT
16#1A61          ; Extend % Mc       TAI THAM VOWEL SIGN A
16#1A62          ; Extend % Mn       TAI THAM VOWEL SIGN MAI SAT
16#1A63..16#1A64    ; Extend % Mc   [2] TAI THAM VOWEL SIGN AA..16#TAI THAM VOWEL SIGN TALL AA
16#1A65..16#1A6C    ; Extend % Mn   [8] TAI THAM VOWEL SIGN I..16#TAI THAM VOWEL SIGN OA BELOW
16#1A6D..16#1A72    ; Extend % Mc   [6] TAI THAM VOWEL SIGN OY..16#TAI THAM VOWEL SIGN THAM AI
16#1A73..16#1A7C    ; Extend % Mn  [10] TAI THAM VOWEL SIGN OA ABOVE..16#TAI THAM SIGN KHUEN-LUE KARAN
16#1A7F          ; Extend % Mn       TAI THAM COMBINING CRYPTOGRAMMIC DOT
16#1AB0..16#1ABD    ; Extend % Mn  [14] COMBINING DOUBLED CIRCUMFLEX ACCENT..16#COMBINING PARENTHESES BELOW
16#1ABE          ; Extend % Me       COMBINING PARENTHESES OVERLAY
16#1B00..16#1B03    ; Extend % Mn   [4] BALINESE SIGN ULU RICEM..16#BALINESE SIGN SURANG
16#1B04          ; Extend % Mc       BALINESE SIGN BISAH
16#1B34          ; Extend % Mn       BALINESE SIGN REREKAN
16#1B35          ; Extend % Mc       BALINESE VOWEL SIGN TEDUNG
16#1B36..16#1B3A    ; Extend % Mn   [5] BALINESE VOWEL SIGN ULU..16#BALINESE VOWEL SIGN RA REPA
16#1B3B          ; Extend % Mc       BALINESE VOWEL SIGN RA REPA TEDUNG
16#1B3C          ; Extend % Mn       BALINESE VOWEL SIGN LA LENGA
16#1B3D..16#1B41    ; Extend % Mc   [5] BALINESE VOWEL SIGN LA LENGA TEDUNG..16#BALINESE VOWEL SIGN TALING REPA TEDUNG
16#1B42          ; Extend % Mn       BALINESE VOWEL SIGN PEPET
16#1B43..16#1B44    ; Extend % Mc   [2] BALINESE VOWEL SIGN PEPET TEDUNG..16#BALINESE ADEG ADEG
16#1B6B..16#1B73    ; Extend % Mn   [9] BALINESE MUSICAL SYMBOL COMBINING TEGEH..16#BALINESE MUSICAL SYMBOL COMBINING GONG
16#1B80..16#1B81    ; Extend % Mn   [2] SUNDANESE SIGN PANYECEK..16#SUNDANESE SIGN PANGLAYAR
16#1B82          ; Extend % Mc       SUNDANESE SIGN PANGWISAD
